feature,importance
pad_cum_change,0.001372686863514943
pad_w30_std,0.0013380368110985415
pas_w90_std,0.0012332406379219128
imc_w7_mean,0.0012130249034594724
pas_r2,0.001094358624808743
glucosa_r2,0.0010009740142669953
peso_min,0.0009235128117922666
riesgo_max,0.000900701002020373
glucosa_w30_slope_m,0.0008762782388216299
imc_min,0.0007170101642541512
imc_max,0.0007138760231934216
imc_cv,0.0006741162420047531
glucosa_w180_std,0.0006611941606563692
imc_var,0.0006484048357701326
imc_std,0.0006472952527110175
peso_w180_std,0.0006378381441503003
glucosa_cv,0.0005713389406436874
pas_max,0.0005672719695264669
riesgo_var,0.0005634809979260921
imc_w30_std,0.0005602594577456867
peso_w30_std,0.0005460253980316049
imc_accel_m2,0.0005409605999181238
pas_std,0.0005095130978383708
glucosa_var,0.0004947875693064663
riesgo_std,0.0004939859190221496
peso_w30_mean,0.0004674701306692607
glucosa_w30_std,0.0004625154814489584
peso_mean,0.0004619385459552567
peso_w90_std,0.00041845624320527796
pas_w90_slope_m,0.0004064957789092399
pad_accel_m2,0.0004045445198790361
peso_cv,0.0004038948617497261
pad_w30_slope_m,0.00038676799066294105
peso_w180_mean,0.00038136426307273593
riesgo_w30_std,0.0003739889563233094
pad_w180_slope_m,0.0003600386032076428
peso_w7_mean,0.0003403140924406911
peso_current,0.00033805144610695603
pad_n_obs,0.0003316968119343759
peso_w30_slope_m,0.00032455358340651526
pas_w180_std,0.00032393603974794656
pas_w180_slope_m,0.0003108778771791918
peso_n_obs,0.0002972907982055328
glucosa_w7_slope_m,0.00029078942004771564
pad_max,0.0002870198852156152
glucosa_w90_slope_m,0.00028659862054167094
pad_w90_slope_m,0.0002820963376099464
pas_cv,0.0002703935358458195
pas_w7_mean,0.0002667583046793927
peso_w90_mean,0.0002526142707704577
peso_accel_m2,0.0002446796186920575
glucosa_w7_std,0.00023237244208189077
glucosa_accel_m2,0.00022167549008190966
pas_accel_m2,0.00019717846205337598
pas_var,0.00018322884393920085
imc_w90_n,0.0001569340354212357
peso_var,0.00015006883806564761
peso_max,0.000149295473827694
pas_w30_slope_m,0.0001301683875777559
riesgo_n_obs,0.0001296317851648517
imc_w30_slope_m,0.00011845997800641955
imc_n_obs,0.00010864478209829953
pas_n_obs,0.00010566671650287735
pad_time_since_last,0.00010379310946995385
pas_w30_std,9.822032748434475e-05
glucosa_std,9.816340743901885e-05
riesgo_time_since_last,9.463380465473911e-05
pad_w180_n,9.28026668150525e-05
peso_w90_n,8.066582116856212e-05
riesgo_w7_mean,6.65197645772467e-05
peso_time_since_last,6.026270107349176e-05
peso_std,5.979250184410313e-05
pad_w30_n,4.973717882214826e-05
glucosa_w180_n,4.4592918762646206e-05
glucosa_time_since_last,4.423639389333303e-05
glucosa_w90_n,4.2460610945075295e-05
imc_w7_n,3.312500000000078e-05
pas_time_since_last,2.97604249743226e-05
pas_w90_n,2.3768513652908517e-05
pad_w90_n,1.6444444444444596e-05
imc_w180_n,1.188046549889546e-05
pas_w30_n,6.109772493004341e-06
riesgo_w30_n,3.345087554714753e-18
riesgo_w90_n,2.8618507448128258e-18
riesgo_w180_n,1.5044783600744277e-18
peso_w30_n,1.2855414221068328e-18
glucosa_n_obs,1.1623486807743593e-18
imc_w30_n,1.1399407585972626e-18
pas_w7_n,9.097736434431475e-19
imc_time_since_last,7.440720792301804e-19
glucosa_w30_n,3.00474707734912e-19
peso_w180_n,2.994929220297907e-19
riesgo_w7_n,1.337314097843937e-19
riesgo_w7_std,0.0
riesgo_w7_slope_m,0.0
peso_w7_n,0.0
peso_w7_std,0.0
peso_w7_slope_m,0.0
pad_w7_slope_m,0.0
glucosa_w7_n,0.0
pad_w7_std,0.0
pas_w7_slope_m,0.0
pad_w7_n,0.0
